DATE;CE_PPSM;CE_PPSM1R;CE_PPSM2R;CE_PPSM_3R;CE_PPSM4PR;CE_NOS;C_PPSM;C_PPSM1R;C_PPSM2R;C_PPSM3R;C_PPSM4PR;C_NOS;FO_PPSM;FO_PPSM1R;FO_PPSM2R;FO_PPSM3R;FO_PPSM4PR;FO_NOS;HY_PPSM;HY_PPSM1R;HY_PPSM2R;HY_PPSM3R;HY_PPSM4PR;HY_NOS;KB_PPSM;KB_PPSM1R;KB_PPSM2R;KB_PPSM3R;KB_PPSM4PR;KB_NOS;LB_PPSM;LB_PPSM1R;LB_PPSM2R;LB_PPSM3R;LB_PPSM4PR;LB_NOS;RGH_PPSM;RGH_PPSM1R;RGH_PPSM2R;RGH_PPSM3R;RGH_PPSM4PR;RGH_NOS;SI_PPSM;SI_PPSM1R;SI_PPSM2R;SI_PPSM3R;SI_PPSM4PR;SI_NOS;VI_PPSM;VI_PPSM1R;VI_PPSM2R;VI_PPSM3R;VI_PPSM4PR;VI_NOS;MMA_PPSM;MMA_PPSM1R;MMA_PPSM2R;MMA_PPSM3R;MMA_PPSM4PR;MMA_NOS
12-2018;30855;33145;30458;30254;31411;230;36264;37637;36536;36213;34013;64;14203;14144;15124;13943;13437;39;21623;25033;22626;20065;24123;44;21625;23152;21666;19367;22755;19;30907;28153;30253;31918;30812;32;18183;19829;16279;16954;22434;26;25953;27870;25612;24883;25346;36;33320;36351;32032;33960;31954;63;25881,44444;27257,11111;25620,66667;25284,11111;26253,88889;553
01-2019;31472;33895;31218;30509;31927;415;38181;39887;38519;38108;35765;114;14015;13724;14343;14174;13122;33;21788;26917;22844;19826;23524;72;21898;24447;21870;18821;25297;34;30696;28944;30332;31127;31010;47;16885;19501;16352;14731;20575;28;25810;27884;25707;23765;25715;88;34023;37349;32787;34170;32715;107;26085,33333;28060,88889;25996,88889;25025,66667;26627,77778;938
02-2019;31452;33309;31375;30397;32323;426;38349;40850;38288;38303;36002;122;14028;13563;14043;14255;13482;39;20943;25661;21351;19359;23757;69;22544;24145;22542;20319;24252;36;31258;27049;31334;31841;31698;47;17468;17857;17417;15551;20492;26;25795;27034;25904;23930;27622;82;34426;37507;34022;33350;33858;117;26251,44444;27441,66667;26252,88889;25256,11111;27054;964
03-2019;31540;33334;30982;31455;31653;490;38646;42061;38342;39159;35740;124;14239;16257;13856;14467;13854;45;21174;26452;20414;19946;23978;80;21560;23756;21539;19452;22503;45;30749;29232;31141;31021;30130;66;16546;19091;16190;15365;18969;47;25850;27712;25393;24537;26460;96;34496;37695;34217;34072;32643;138;26088,88889;28398,88889;25786;25497,11111;26214,44444;1131
04-2019;31594;33405;31135;31383;31591;476;38909;42422;38571;39132;35706;141;14615;17767;14595;14443;14197;40;20852;23752;19946;19865;25024;83;21453;23003;21635;19715;20722;44;31238;30577;31920;31513;29569;50;17370;19577;16147;16481;19924;42;26088;27193;26157;23677;27840;98;34628;37273;34649;33991;33189;115;26305,22222;28329,88889;26083,88889;25577,77778;26418;1089
05-2019;31964;35000;30937;32091;31586;514;39423;43167;39143;39281;36030;138;14614;18316;14475;14413;14327;49;21478;25304;21097;20453;23536;84;20991;24024;21187;18029;18831;45;31423;32493;31665;31059;31190;60;17080;19385;15965;16099;20045;26;26214;28397;25735;25077;26913;107;34910;38510;34116;34957;33424;133;26455,22222;29399,55556;26035,55556;25717,66667;26209,11111;1156
06-2019;32219;35319;31188;31953;32682;386;39352;41155;38429;39408;37969;104;14725;18106;14355;14253;15323;28;21765;22883;22532;20677;22609;73;22515;26043;22380;19197;18981;43;31922;34292;32310;31285;32026;53;17507;19296;17312;15872;21258;36;25732;27225;25384;24327;27625;62;35668;40295;34644;34683;35670;103;26822,77778;29401,55556;26503,77778;25739,44444;27127;888
07-2019;32725;36023;31592;31980;34132;345;38969;41279;38007;38504;39356;99;14638;16503;13825;14204;15872;30;22645;26566;23040;21893;22240;58;22511;26025;22416;19421;21501;44;31761;33175;32385;31132;31179;44;16855;19128;18426;13979;21624;20;25884;28494;25047;23604;28004;64;36217;40847;35181;34836;35577;92;26911,66667;29782,22222;26657,66667;25505,88889;27720,55556;796
08-2019;33058;34939;32538;32542;33948;538;39242;40243;38799;39496;39168;170;15009;17518;14057;14331;16050;32;22415;24524;22437;21467;24368;77;22391;24859;22473;19781;22051;77;32605;32981;33076;32978;29773;56;17274;0;18536;15004;21525;37;26522;28532;25906;24345;28544;106;36104;39824;35683;34832;34949;146;27180;27046,66667;27056,11111;26086,22222;27819,55556;1239
09-2019;33217;35372;32566;32936;33663;538;39884;42580;39290;40176;38777;167;14985;17702;14999;14385;14951;36;22701;26615;21746;22050;24394;79;22112;24708;21559;21002;22414;49;33110;32740;32331;35512;30608;54;18278;0;18991;16046;22655;36;26986;29477;26111;24967;29748;107;35546;38311;35051;34966;34860;139;27424,33333;27500,55556;26960,44444;26893,33333;28007,77778;1205
